2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,0.000000,-15.114552,-80.976651,-0.000000,15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=1.51).png,-214.161933,0.000000,-39.974013,-214.161933,-0.000000,39.974013
1.52,-215.227414889903,1.11687200069974e-10,-40.172888670405,-215.227414889903,-1.11728055735179e-10,40.172888670405,1
1.53,-216.292897141812,1.08799196431655e-10,-40.3717643568883,-216.292897141812,-1.08861135275466e-10,40.3717643568883,1
1.54,-217.358379393721,1.05658582360765e-10,-40.5706400433717,-217.358379393721,-1.05579434626392e-10,40.5706400433718,1
1.55,-218.42386164563,1.02306808966342e-10,-40.7695157298553,-218.42386164563,-1.02220369647098e-10,40.7695157298553,1
1.56,-219.489343897539,9.9309366069153e-11,-40.9683914163388,-219.489343897539,-9.93416978452982e-11,40.9683914163388,1
1.57,-220.554826149449,9.64158408060106e-11,-41.1672671028224,-220.554826149449,-9.63787588148871e-11,41.1672671028224,1
1.58,-221.620308401359,9.37366468082776e-11,-41.366142789306,-221.620308401359,-9.36915140739222e-11,41.3661427893061,1
1.59,-222.685790653269,9.08600269675097e-11,-41.5650184757898,-222.685790653269,-9.08867502742369e-11,41.5650184757897,1
1.6,-223.751272905179,8.736190091653e-11,-41.7638941622735,-223.751272905179,-8.74590325291788e-11,41.7638941622735,1
1.61,-224.81675515709,8.40188111141463e-11,-41.9627698487574,-224.81675515709,-8.41346066166732e-11,41.9627698487574,1
1.62,-225.882237409001,8.16686654284485e-11,-42.1616455352412,-225.882237409001,-8.17061544290676e-11,42.1616455352412,1
1.63,-226.947719660912,7.86875648190258e-11,-42.3605212217252,-226.947719660912,-7.88067790278429e-11,42.3605212217252,1
1.64,-228.013201912824,7.5737059093868e-11,-42.5593969082092,-228.013201912824,-7.56866751347104e-11,42.5593969082092,1
1.65,-229.078684164735,7.25433565215011e-11,-42.7582725946933,-229.078684164735,-7.28740090190708e-11,42.7582725946932,1
